job_title,company_name,address,job_description,job_source_url,job_posted_date,job_source,job_type
Developer,Randstad Technologies,"Remote or Dallas, TX, USA","job summary: Job Duties: The candidate is required to use Java, Azure SQL, Kafka, Cassandra, Splunk, Dyna Trace as part of their development with unit testing. Additional Job Details Java Kafka Azure SQL Cassandra Remote - Preferably in these three locations, BV, Dallas, Sunnyvale location: Dallas, Texas job type: Contract salary: $51 - 75 per hour work hours: 8am to 4pm education: Bachelors responsibilities: Work in a small, high performance agile team environment sharing innovati",https://www.dice.com/job-detail/41071794-fe86-4f1c-a88e-8458bde30b05?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=57de37fe-6ab8-4fe2-a138-eaa68f3150d1,Posted 12 hours ago,Dice,contract
Front End Developer,Robert Half,"Austin, TX, USA","Description We are seeking a talented and experience Front-End Developer/Designer with Figma, Adobe Animate, art direction, graphic design, and quality assurance skills to join our team. The ideal candidate should have a passion for creating beautiful and functional web designs, and be able to translate those designs into clean and efficient code. In this role, you will be responsible for developing and maintaining front-end web applications that meet the needs of our clients and users. Key Res",https://www.dice.com/job-detail/ce0b138d-bee7-4203-9860-96aecc833681?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=57de37fe-6ab8-4fe2-a138-eaa68f3150d1,Posted 6 hours ago,Dice,contract
Database Developer,Robert Half,"Houston, TX, USA","Description Do you possess a strong set of skills in relational databases? Are you excited about designing, building and developing database architecture? If you're looking for work as a Database Developer, Robert Half is looking for candidates with a strong command of query writing and an interest in developing systems to join the efforts of a growing company in the Energy/Natural Resources industry. This Database Developer position will be a long-term contract / temporary opportunity based",https://www.dice.com/job-detail/84a79336-be02-4bab-9cbc-caa005b5c024?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=57de37fe-6ab8-4fe2-a138-eaa68f3150d1,Posted 6 hours ago,Dice,contract
Web Developer,Randstad Technologies,"Redmond, WA, USA","job summary: Join us in the Gaming Ecosystem Organization (GEO) and be part of our mission to empower game creators to realize their dreams by delivering the world's best tools and services. We are looking for people who are energized by innovating the tools that support every stage in a game's life cycle. As game creators evolve to deliver their titles as Games-as-a-Service, we are supercharging our developer tools to support accelerated production environments, agile back-end infrastructure,",https://www.dice.com/job-detail/2526947f-b339-4a57-9038-613ba0a6754c?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=57de37fe-6ab8-4fe2-a138-eaa68f3150d1,Posted 15 hours ago,Dice,contract
Developer III,Randstad Technologies,"Chicago, IL, USA","job summary: - DEVOPS position with extensive Harness experience - Bachelor's degree or higher in Computer Science, Computer Engineering, Electrical Engineering, Management Information Systems and/or equivalent work experience - 6+ years of experience in design, development, documenting, testing, and debugging of new and existing software systems and/or applications for market sale or large-scale proprietary software for internal use - 3+ years of development experience in AWS cloud platform",https://www.dice.com/job-detail/cdad74aa-0094-4dd5-8028-9d2068dd0aaf?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=57de37fe-6ab8-4fe2-a138-eaa68f3150d1,Posted 12 hours ago,Dice,contract
Web Developer,Randstad Technologies,"Charlotte, NC, USA","job summary: Description: Develops, enhances, tests, supports, maintains and debugs software applications that support business units. A senior member of the technical team responsible for assisting senior business leaders and management. Spring, Spring MVC, Spring Batch or Quartz on JBoss. Or Spring Boot Eclipse or IntelliJ IDE, Maven, JUnit Multiple system integration protocol exposure: especially SOAP or RESTful web services, file exchange, MQ/JMS messaging Hibernate & SQL for complex querie",https://www.dice.com/job-detail/980d3770-426b-4fb1-a03b-2a3c3930d938?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=57de37fe-6ab8-4fe2-a138-eaa68f3150d1,Posted 9 hours ago,Dice,contract
Web Developer,Randstad Technologies,"Pennington, NJ, USA","job summary: Description: 10 + years. Develops, enhances, tests, supports, maintains and debugs software applications that support business units or support functions. A senior member of the technical team responsible for assisting senior business leaders and management. May provide strategic technical direction and system architecture for individual initiatives. Utilizes in-depth knowledge of technological alternatives and business system requirements to recommend innovations that enhance and/",https://www.dice.com/job-detail/edf2b7e5-b5cf-458c-904a-8ef675cae357?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=57de37fe-6ab8-4fe2-a138-eaa68f3150d1,Posted 15 hours ago,Dice,contract
Software Developer,Kforce Technology Staffing,"Daytona Beach, FL, USA","RESPONSIBILITIES: Kforce has a client in Daytona Beach, FL looking for a Software Developer. Summary: The Software Developer will be responsible for supporting our software development team in all aspects of the development, testing and implementation of our business. This individual will be self-motivated and enthusiastic about solving complex problems, testing innovative approaches, and researching new solutions. Essential Duties and Responsibilities: * Software Developer will be writing and",https://www.dice.com/job-detail/617b3d3c-2a52-4bcb-b66c-5387993c8585?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=57de37fe-6ab8-4fe2-a138-eaa68f3150d1,Posted 11 hours ago,Dice,contract
"Contact Center Engineer / IVR Engineer / IVR Developer- Fort Worth, TX",Amaze Systems Inc,"Fort Worth, TX, USA","Title- IVR developer Work site: Fort Worth, TX, USA Remote- NO Note: Interactive voice response (IVR) is telephony software technology commonly found in Contact Centers. Here's the JD for such a role 3+ Years of experience as IVR developer Proficient in Java and VXML Experience in Nuance products such as Nuance Speech Suite Experience in Genesys Composer call flow development and deployment Experience in RDBMS concepts Good troubleshooting skills (Log reading, tracing calls and analyzing i",https://www.dice.com/job-detail/d7b2d23a-ae9a-47ad-ab4f-88970b7c42cb?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=57de37fe-6ab8-4fe2-a138-eaa68f3150d1,Posted 14 hours ago,Dice,contract
Mulesoft Developer,Randstad Technologies,"Plano, TX, USA","job summary: Position Summary: Mulesoft (with Salesforce experience desirable). Primary Skill: Mule ESB Secondary Skill: Salesforce Required Skills: MuleSoft/ Salesforce developer needed for a target state commercial credit underwriting, fulfillment and monitoring system. The developer should be well versed integrations and web services. The solution runs on Force.com with 30+ integration points. The code and design savvy lead developer is an expert in MuleSoft ESB, Java, Java Spring, Salesforc",https://www.dice.com/job-detail/964ed4b4-511b-46c7-a3aa-ea53634291ee?searchlink=search%2F%3Fq%3Ddeveloper%26location%3DUnited%2520States%26latitude%3D37.09024%26longitude%3D-95.712891%26countryCode%3DUS%26locationPrecision%3DCountry%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26filters.postedDate%3DONE%26filters.employmentType%3DCONTRACTS%26language%3Den%26eid%3DS2Q_&searchId=57de37fe-6ab8-4fe2-a138-eaa68f3150d1,Posted 6 hours ago,Dice,contract
