job_title,company_name,job_source,address,job_type,job_source_url,job_description,job_posted_date
Support Engineer,RegDOX Solutions Inc.,Ziprecruiter,"Nashua, NH",Contract,https://www.ziprecruiter.com/k/l/AAKJeJzqL5YQRR_dcUWVeZIbwYuAr-RmiQTUEJ-yG3koLn6efSPuG1XVGI-kCtI-pirpBIVTgLQLsbtrqFnbl9ZctAGbibNdQcvolZU8KKWMiAnMd5waDnT6bDBBddcTK1xZHoEA-L26GQnLp5IHyNAsnnmBngHbSpc4VtvR_N2VudkPOk4R69nRtA_J3iER6Bti2A?pageType=perl_serp,"The ideal candidate will demonstrate the necessary administrative and technical skills, experience, and competence to immediately add value to the work of RegDOX in the role of Support Engineer in RegDOX’s Nashua, New Hampshire office.
The purpose, duties, skills, experience, and qualifications for each aspect of this position are as follows:
Job Purpose:
Reporting to the lead technology position within RegDOX, the Support Engineer will have direct, and at times, primary responsibility for (i) application and hosting platform management of our RegDOX Service cloud solutions, (ii) technical sales support, (iii) customer and internal user support, (iv) office and product network management, and (v) additional development and support project that are assigned from time to time. This position requires a passion for studying and discussing technology, a customer-focused approach to providing superior assistance within the sales and support operations of RegDOX, and self-directed goals of excellence and realizing a high degree of acceptance and satisfaction with RegDOX and its services and products.
Job Duties:
The duties of the Support Engineer include, but are not limited to, the following:
Presenting the RegDOX solutions to customers and prospects and providing administrator and user training using slide presentations and other formats or methods via phone, remote conferences, or in person.
Quickly understanding,
- the IT/network environment of RegDOX’s prospects and customers and each of their needed uses of the RegDOX product suite and articulate how RegDOX’s services can be quickly deployed to achieve those uses, and
- the IT/network environment of all RegDOX’s services, RegDOX’s office, and RegDOX’s AWS account
Constantly monitor RegDOX’s services performance.
Assisting with testing, debugging, performance analysis, and document hardware and software technology components of all RegDOX Solutions services and products.
Supporting and troubleshooting RegDOX websites.
Developing and constantly updating comprehensive presentations and proposals of RegDOX’s solutions.
Developing expertise in RegDOX’s offerings and remaining current on those offerings.
Implementing the entire suite of RegDOX’s SaaS solutions in rapid deployment.
Researching and proposing enhancements to RegDOX’s offerings.
Being an evangelist for RegDOX’s offerings.
Speaking knowledgeably about trends in technology, cybersecurity, etc.
Providing support during initial phases of customer implementations and later supervising and providing 24X7 support for customers.
Troubleshooting client issues and internal RegDOX employees’ problems.
Being on-call after hours during weekdays, every other weekend, and holidays.
Travel varies but could be up to 25%
Job Skills and Qualifications:
Required:
Bring a competitive spirit, a customer-centric attitude, and a hardworking, winning attitude and approach.
3 to 5 years of IT or IT Hosted Experience, ideally with solutions in a SaaS environment.
3 to 5 years of support engineering experience, ideally in a SaaS environment.
Experience with AWS infrastructure, including but not limited to virtual machines.
Windows Server management experience: Minimum 3 to 5 years of support for Windows environments (server and network).
Substantial documentation and communication skills.
Frequent customer communication over the phone, email, and face-to-face.
Enjoying talking with people about technology solutions and being able to articulate complex topics to novice or technical audiences.
Should be self-motivated and comfortable, and responsible in an autonomous position.
Able to achieve success with little management or guidance and can advise peers.
Communicate clearly and truthfully and be a positive participant in RegDOX’s successes.
AWS Certified Solutions Architect or any relevant AWS Professional Services Certification.
Additional:
Conversant with cybersecurity requirements of NIST (SP) 800-171, the International Traffic in Arms Regulations (ITAR), and the Cybersecurity Maturity Model Certification (CMMC).
Experience in providing third-party cybersecurity assessments.
Relevant Windows Server Management certifications.
Essential Education and Qualifications:
Bachelor’s degree with a computer science or equivalent major or equivalent academic achievements.
A United States Citizen or permanent resident visa holder.
Secondary qualifications:
Candidate must live within 1 hour of our Nashua, NH office as this is not a work-at-home position.
Physical requirements/conditions:
Typical office environment (with occasional nights/weekends/holiday work schedule).
Lighting and temperature are adequate.
Ability to lift up to 35 pounds.
Attainments and Experience:
Professional growth across careers and within individual employers.
Please include your salary requirements in your cover letter.
Job Type: Full-time in the office. Not a remote position.",1 hour ago
Application Developer,BP,Ziprecruiter,"Houston, TX",Contract,https://www.ziprecruiter.com/ek/l/AAKtqsWHQPmIJB4gEFSjFOIsZ3VQSNisJXwpQPpmYVBWNosUsJKXwst1a0ifKh73jAl_74Su_AiFiN71bmzVymizAUPTja3JS8znhof1EtQdpzH3E2vgQY6k6B4TbLYdpb-7a5M2cKL_STkibLSNNc3WjXQmJH_U_UT47Lhrje4GSdgn0W1EGfxn2xENp3ymmd_FcA?pageType=perl_serp,,Today
Engineering Technician,The Alpha Group,Ziprecruiter,"Attleboro, MA",Contract,https://www.ziprecruiter.com/k/l/AAIyOOVn0GpMBhZ810ks4gT2MFMnl-eAlPnf56lEXtHWNkLeuslUPbcAD3hTY_S6xjSUViAt93rwww6wDu5UTTWJYUYzpkCAXQI3xIZygy1Gd5SpR7p2LdXNqoZgtszILlre0qON1_wkjrLLXUlIdeJl6lLAOPi8wCQW5OxAn1jaFPHcYZaDVuNc5GbJGKR-f6TUVw?pageType=perl_serp,"Now Hiring an Engineering Technician for a full-time, temporary to permanent position in Attleboro, MA.
Responsibilities of Engineering Technician:
-Support engineering administrative functions
-Create and Maintain drawings
-Create manufacturing bill of materials and routing instructions
-Work with engineers to produce support documentation for new products
-Perform tests and collect data
-Provide general computer support
-Order tooling
-Maintain files and create when needed
-Perform other tasks as assigned
Requirements of Engineering technician:
-Minimum 2-year degree in related field or 2-4 years of related work experience
-Strong computer skills including Microsoft Office suite
-Good Attention to detail
-Ability to muti-task
-Great organizational and communication skills
-Ability to work individually or with a team

Hours: 7:00am-5:30 pm OR 6:00am-4:30 pm Monday-Thursday
Pay Rate: $18-20/hour",1 hour ago
"Full-Stack Developer (Java, Angular)",Santander Holdings USA Inc,Ziprecruiter,"Wayland, MA",Contract,https://www.ziprecruiter.com/ek/l/AAIYB-pfkfHA1cXTmcPfn3XrigVl5EXx-nTRXGC1xhLpEL4L3ri1LGkIJoAa11ilfj_JM192D2d3_tP2iPQtZBnro4fHs0Zxe_Dbygl2AS9qgSmK5nos7HY_Cb3SHh0gg4zNr1PlTTBNoQOOa87zDW1hvTcP5A6_kNKkeiKxI_SCvNlnYZ_HXYva5zCQ-oC_lZ_9Iw?pageType=perl_serp,,Today
Software Engineer (RxR),WALGREENS,Ziprecruiter,"Bellevue, WA",Contract,https://www.ziprecruiter.com/ek/l/AAKI_HjW5Ii_kKvbtzJ_sNV2aYDZHO-WyHbdEcDnkDXProv3n6HVm7jiiz2XUBR2NOi61Msqh2Wuzj1DuRrI04UnXbV-O1GozS-ztVYjQmjccc4Rh06ykH3pvE8Iejv6EXF9GpoA0zDJFiNniLdh3kw9w58HBZknyNEIaXb_2jbFCBemuJts7YTI2pZF2iEm_oM6Wg?pageType=perl_serp,,Today
Mechanical Engineer,EdgeTech,Ziprecruiter,"West Wareham, MA",Contract,https://www.ziprecruiter.com/k/l/AAIvIGle1FdlqpgGSBDHt6irzl1DrJyl7lnvG1pXypGe7tXS-njbUL-wGP-LvYlbcQXW1TsWgj3B09tV3aE680c8_dhB_1sKyHXwCcQjCfr1TWy-ZVDCPAPQ63BYs6OeQouWUyjmrxaVjdpGkARgbznv-K55qIWmJYecusXct3smbzKbado-61q0T5NdQ0WzlzdkKg?pageType=perl_serp,"Mechanical Engineer
Location: West Wareham, MA
Position: Full Time
Experience: 5+ Years
For more than 50 years, EdgeTech has been the industry leader in the design and manufacture of advanced underwater sonar systems for applications involving seabed survey, target detection, object identification, mooring instrumentation, and acoustic tracking/positioning. Our products are used to support a variety of customers, from offshore oil and gas, to fisheries/science/underwater research, defense, and police/fire search and rescue.
This person will serve as a staff mechanical engineer responsible for mechanical design of the company’s imaging sonar products to include standard systems and custom-developed solutions.
Duties/Responsibilities
· Participate in mechanical design activities for new development projects and manufacturing support efforts.
· Demonstrate proficiency in mechanical design for subsea components (pressure housings, end-caps, electronic packaging, transducers) using structural analysis (finite element modeling, desired), CAD, and solid modeling (Solidworks).
· Manage the design and prototyping of new components to rapidly test changes and improvements
· Oversee and coordinate activities involved in fabrication, operation, installation, and repair of mechanical or electromechanical products and systems
· Manage the testing and qualification of designed components as well as implementing and testing all changes
· Assist other engineering organizations in the integration of new sensors and subsystems
· Assist purchasing department to select vendors for purchased mechanical components; provide engineering input to outside machine shops that will be fabricating components
· Participate in the documentation control efforts (BOMs, drawings, etc.) for all subsystems and components
· Interface with the engineering group on engineering change orders, new product transfers, bill of material structure and entry
· Support Sales and Marketing personnel with custom engineering quotations
· Must be a self-motivated individual, working as a key member in a small group developing state-of-the-art acoustic systems.
Skills & Experience
· BSME (or related degree) from 4-year college/university
· 5+ years relevant experience
· Must be proficient with Solidworks in creating 3D models of full-scale systems.
· Must have skills in modeling/analyzing the strength of design structures; experience with FEA tools is a plus.
· Demonstrated ability to work effectively amongst a diverse group of engineering disciplines.
· Must be organized, able to work on multiple tasks concurrently, and meet deadlines/schedules
· Previous experience in the Marine industry is a plus.
Other
· Must be a US citizen or Permanent Resident
· Occasional field support of deployed systems is likely and a willingness to travel for short periods is required (<15%)",1 hour ago
DevOps Engineer I,FIS,Ziprecruiter,"Camp Dennison, OH",Contract,https://www.ziprecruiter.com/ek/l/AAJGe9ycjVqCjgJz0zVofsZU7KqR76RZD57_OQl0loGIz_PDVSkq1amGQ0c3OAq4UG2hCuZLIHcZx06pktmQyyJ9u9iH8vk4fsVUyYWpHUXUpMD405YLmmPZkvfKCcoc6ooMNTWdZc2zG8a9FFBQ6pH3STCnzT5NBM-0fdiwSK080FCBJk8KZ51h2ymxOf6M1LgCBw?pageType=perl_serp,,Today
Senior DevOps Engineer,Santander Holdings USA Inc,Ziprecruiter,"Mesquite, TX",Contract,https://www.ziprecruiter.com/ek/l/AAKUW2xJkelz1xKOsl0PvAceADQ9NTjlF9O0iy-JDeZ0hR1qdwQNp9U8Ab2QLaBh96X9abPwvvd55D3KbCwwgLF75-2A-mjyTys3dEBCMbq5IjlNprVmr5GeP0-QdITI1AOz7VBN9yCv2gpwql5xSa-mD2zILxmo-8VPIT57j1i6zWHd_hqu-gkDOrVWQ0kCpeK7Hg?pageType=perl_serp,,Today
Design Engineer 1,Daikin,Ziprecruiter,"Waller, TX",Contract,https://www.ziprecruiter.com/ek/l/AAI4nHtjpKfGNJIVZkKwQphmZCxS3Dp-TRiIh0gjp5T82LosG0E3NNBKqszdV4yfowHZZ1Qgks4XtMKsszdu6R3BJ_kENguhiK0oP0u3w0eM-BSLk-qBFSp6w5_gSxYvv5sgxecFOfc3VOOgS6wtcIJbrKlun4BEZavvePwVU3m4fcBXhasl9HK86JGKdWmiQfL_VQ?pageType=perl_serp,,Today
Principal Network Engineer,Fidelity Investments,Ziprecruiter,"Roanoke, TX",Contract,https://www.ziprecruiter.com/ek/l/AALCQn7xyIuXag6XFZr8xEXE8NgnVcvXYLZCwic5T6hDvzw73yqxPn6AFyQNtmazp_jD80mUXFhRNDQHza1mGRbLYA3pFB7-K1OOAuF9jlhosLMPLA8DhzKTw7MGnpV-a5V3XTxart6aRLromCKupxnYWinR8MtmR-g4bJtJw8cLJIEkZFVbVx41tic2Nw2IbRTMbT0?pageType=perl_serp,,Today
